reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
8ec5da84-8976-483d-a6d5-ba9d96137792,Leandro Solon,https://play-lh.googleusercontent.com/a-/ALV-UjWuUGNheRaWLm_jPEBMlMpyVfor-O_W8y0t5tIC-ga2TnIpyUp0,Quero ver abrir meu aplicativo,5,0,9.46.78-minApi28,2026-06-20 01:35:38,,,9.46.78-minApi28
5b36fa16-6956-4b3e-a847-3ac815f07c71,Wagner Monteiro,https://play-lh.googleusercontent.com/a/ACg8ocKneWXv0DjYGCyceNWkr4ktz7EeZ50KGp3fFx7TKgHu3J_9Aw=mo,Boa demqis,5,0,,2026-06-20 01:33:03,,,
dcb9801f-4e29-4487-852a-654728a3ea4e,Lucia Andrade,https://play-lh.googleusercontent.com/a/ACg8ocLsrCy5HwKdBrGhlGDBOXqcG6pU4Ld-bZYTOcpvhWD9Bq_uTA=mo,maravilhosa de mais ❤️,5,0,9.49.51-minApi28,2026-06-20 01:32:54,,,9.49.51-minApi28
21abb745-2e1d-4235-b762-470b14e9daaa,Ageu Ferreira,https://play-lh.googleusercontent.com/a-/ALV-UjVv_VxKMRVR8XKNpaYxJH3aAI-pvPwBlqtuWv-QKqKOzHoz-FPM,Excelente 👌,5,0,9.49.13-minApi28,2026-06-20 00:00:04,,,9.49.13-minApi28
3cd9d8b6-0151-482d-9843-8e7557fb7b96,Duda Moreira,https://play-lh.googleusercontent.com/a-/ALV-UjX8Jy5tgZgCwrZT3teC4vPSiyR3pETIXMPyIVHe93RkIdPcc7Ow8Q,"Não aparece mais o dinheiro que eu envio ao povo! Acaba ficando ruim, pois eu me perco sem saber com o que eu gastei.",1,0,9.49.13-minApi28,2026-06-19 23:21:55,,,9.49.13-minApi28
994ac435-f611-4d40-9c36-4895dd6b1d52,Ana Elizabete Santos Borges,https://play-lh.googleusercontent.com/a/ACg8ocJPDyW2otNCyMOtx87eCWy7IhOj0iZxLZHzlcaVhmCEk5ZBeg=mo,muito bom,5,0,9.49.13-minApi28,2026-06-19 23:14:36,,,9.49.13-minApi28
cfa346c0-d535-4c6a-9a6d-49a01b8c6efe,Márcio Daniel,https://play-lh.googleusercontent.com/a-/ALV-UjVcbnVkn5GLtPaWGPSTUnl4ElxLipiIeqBhfW9Qm76N_t83y2c,o banco do futuro!,5,0,9.49.13-minApi28,2026-06-19 22:40:54,,,9.49.13-minApi28
e0e7c762-d64a-4823-b762-bb675182a016,Eronilda Lira,https://play-lh.googleusercontent.com/a/ACg8ocIMvvVhZQhBvjkATe4xXqXKjBVhU3naY9Rgo2oXCicO95d9ZVQ=mo,eu queria fazer um empréstimo. mas os juros são um absurdo. tirando 10 mil eu iria pagar 42 mil só de juros mas de 30 mil em 48 vezes... porque fazendo um empréstimo pagar tanto juros assim. mem no consignado não é tanto juros assim,3,1,9.49.51-minApi28,2026-06-19 22:37:03,,,9.49.51-minApi28
e9cacf99-580e-4857-83a2-00fe830cd578,kaua Fernando,https://play-lh.googleusercontent.com/a/ACg8ocJaXgh8-w8cnGApI2v2zpkTZAdRCf15fwDTqJSnz6BZIVBhsA=mo,o melhor banco que tem,5,0,9.49.51-minApi28,2026-06-19 22:34:55,,,9.49.51-minApi28
92a1c97b-c329-4bb2-b5f5-04945b486c43,Marcelo Galdino,https://play-lh.googleusercontent.com/a-/ALV-UjU14z4VML3AuuQeGYPL3pTQapCcTfr_saPPcLX3jK35bS9VYOQ,ótimo cartão,5,0,9.49.13-minApi28,2026-06-19 22:05:35,,,9.49.13-minApi28
